PLAYER,PLAYER_ID_ESPN,PLAYER_ID_NBA,PLAYER_NORM
AJ Green,4397475,1631260,AJ Green
AJ Johnson,5170947,1642358,AJ Johnson
Aaron Gordon,3064290,203932,Aaron Gordon
Aaron Holiday,3922230,1628988,Aaron Holiday
Aaron Nesmith,4396909,1630174,Aaron Nesmith
Aaron Wiggins,4397183,1630598,Aaron Wiggins
Adam Flagler,4397654,1641745,Adam Flagler
Adama Sanogo,4702023,1641766,Adama Sanogo
Adem Bona,5105637,1641737,Adem Bona
Ajay Mitchell,4900671,1642349,Ajay Mitchell
Al Horford,3213,201143,Al Horford
Alec Burks,6429,202692,Alec Burks
Alex Caruso,2991350,1627936,Alex Caruso
Alex Ducas,4432971,1642505,Alex Ducas
Alex Len,2596107,203458,Alex Len
Alex Reese,4277812,1642024,Alex Reese
Alexandre Sarr,5160992,1642259,Alexandre Sarr
Alondes Williams,4592216,1631214,Alondes Williams
Alperen Sengun,4871144,1630578,Alperen Sengun
Amen Thompson,4684740,1641708,Amen Thompson
Amir Coffey,4066387,1629599,Amir Coffey
Andre Drummond,6585,203083,Andre Drummond
Andre Jackson Jr.,4432190,1641748,Andre Jackson Jr.
Andrew Nembhard,4395712,1629614,Andrew Nembhard
Andrew Wiggins,3059319,203952,Andrew Wiggins
Anfernee Simons,4351851,1629014,Anfernee Simons
Anthony Black,4712849,1641710,Anthony Black
Anthony Davis,6583,203076,Anthony Davis
Anthony Edwards,4594268,1630162,Anthony Edwards
Anthony Gill,2581184,1630264,Anthony Gill
Antonio Reeves,4592686,1641810,Antonio Reeves
Ariel Hukporti,4871141,1630574,Ariel Hukporti
Armel Traoré,5104156,1642422,Armel Traore
Ausar Thompson,4684742,1641709,Ausar Thompson
Austin Reaves,4066457,1630559,Austin Reaves
Ayo Dosunmu,4397002,1630245,Ayo Dosunmu
Bam Adebayo,4066261,1628389,Bam Adebayo
Baylor Scheierman,4593841,1631248,Baylor Scheierman
Ben Sheppard,4433076,1641767,Ben Sheppard
Ben Simmons,3907387,1627732,Ben Simmons
Bennedict Mathurin,4683634,1631097,Bennedict Mathurin
Bilal Coulibaly,5104155,1641731,Bilal Coulibaly
Blake Wesley,4683935,1631104,Blake Wesley
Bobby Portis,3064482,1626171,Bobby Portis
Bogdan Bogdanović,3037789,203992,Bogdan Bogdanovic
Bol Bol,4397102,1629626,Bol Bol
Bones Hyland,4592492,1630538,Bones Hyland
Bradley Beal,6580,203078,Bradley Beal
Branden Carlson,4592435,1642382,Branden Carlson
Brandin Podziemski,4709138,1641764,Brandin Podziemski
Brandon Boston,4709138,1630527,Brandon Boston
Brandon Clarke,3906665,1629634,Brandon Clarke
Brandon Ingram,3913176,1627742,Brandon Ingram
Brandon Miller,4433287,1641706,Brandon Miller
Brandon Williams,4397040,1630314,Brandon Williams
Brice Sensabaugh,5105839,1641729,Brice Sensabaugh
Bronny James,4683774,1642355,Bronny James
Brook Lopez,3448,201572,Brook Lopez
Bruno Fernando,4277952,1628981,Bruno Fernando
Bryce McGowens,4576086,1631121,Bryce McGowens
Buddy Hield,2990984,1627741,Buddy Hield
CJ McCollum,2490149,203468,CJ McCollum
Cade Cunningham,4432166,1630595,Cade Cunningham
Caleb Houstan,4433623,1631216,Caleb Houstan
Caleb Martin,3138160,1628997,Caleb Martin
Cam Christie,4845363,1642353,Cam Christie
Cam Reddish,4395627,1629629,Cam Reddish
Cam Spencer,4433083,1642285,Cam Spencer
Cam Thomas,4432174,1630560,Cam Thomas
Cam Whitmore,5105592,1641715,Cam Whitmore
Cameron Johnson,3138196,1629661,Cameron Johnson
Cameron Payne,3064230,1626166,Cameron Payne
Caris LeVert,2991043,1627747,Caris LeVert
Carlton Carrington,4845374,1642267,Carlton Carrington
Cason Wallace,4683692,1641717,Cason Wallace
Charles Bassey,4397886,1629646,Charles Bassey
Chet Holmgren,4433255,1631096,Chet Holmgren
Chris Boucher,3948153,1628449,Chris Boucher
Chris Duarte,4592402,1630537,Chris Duarte
Chris Livingston,4433622,1641753,Chris Livingston
Chris Paul,2779,101108,Chris Paul
Christian Braun,4431767,1631128,Christian Braun
Christian Koloko,4431778,1631132,Christian Koloko
Clint Capela,3102529,203991,Clint Capela
Coby White,4395651,1629632,Coby White
Cody Martin,3138161,1628998,Cody Martin
Cody Williams,4895758,1642262,Cody Williams
Colby Jones,4433378,1641732,Colby Jones
Cole Anthony,4432809,1630175,Cole Anthony
Cole Swider,4397134,1631306,Cole Swider
Colin Castleton,4397204,1630658,Colin Castleton
Collin Gillespie,4278585,1631221,Collin Gillespie
Collin Sexton,4277811,1629012,Collin Sexton
Corey Kispert,4280151,1630557,Corey Kispert
Cory Joseph,6446,202709,Cory Joseph
Craig Porter Jr.,4701233,1641854,Craig Porter Jr.
Cui Yongxi,4701233,1642385,Cui Yongxi
D'Angelo Russell,3136776,1626156,D'Angelo Russell
D.J. Carton,4432820,1630618,D.J. Carton
DaQuan Jeffries,3913220,1629610,DaQuan Jeffries
Daishen Nix,4432176,1630227,Daishen Nix
Dalano Banton,4397885,1630625,Dalano Banton
Dalen Terry,4433159,1631207,Dalen Terry
Dalton Knecht,4897943,1642261,Dalton Knecht
Damian Lillard,6606,203081,Damian Lillard
Damion Lee,2595209,1627814,Damion Lee
Daniel Gafford,4278049,1629655,Daniel Gafford
Daniel Theis,2451037,1628464,Daniel Theis
Daniss Jenkins,5107199,1642450,Daniss Jenkins
Dario Šarić,3032978,203967,Dario Saric
Dariq Whitehead,4432735,1641727,Dariq Whitehead
Darius Garland,4396907,1629636,Darius Garland
David Duke Jr.,4397107,1630561,David Duke Jr.
David Roddy,4593041,1631223,David Roddy
Davion Mitchell,4278053,1630558,Davion Mitchell
Day'Ron Sharpe,4432194,1630549,Day'Ron Sharpe
De'Aaron Fox,4066259,1628368,De'Aaron Fox
De'Andre Hunter,4065732,1629631,De'Andre Hunter
De'Anthony Melton,4066436,1629001,De'Anthony Melton
DeAndre Jordan,3442,201599,DeAndre Jordan
DeMar DeRozan,3978,201942,DeMar DeRozan
Dean Wade,3912848,1629731,Dean Wade
Deandre Ayton,4278129,1629028,Deandre Ayton
Dejounte Murray,3907497,1627749,Dejounte Murray
Delon Wright,3064447,1626153,Delon Wright
Deni Avdija,4683021,1630166,Deni Avdija
Dennis Schröder,3032979,203471,Dennis Schroder
Dereck Lively II,4683688,1641726,Dereck Lively II
Derrick Jones Jr.,3936099,1627884,Derrick Jones Jr.
Derrick White,3078576,1628401,Derrick White
Desmond Bane,4066320,1630217,Desmond Bane
Devin Booker,3136193,1626164,Devin Booker
Devin Vassell,4395630,1630170,Devin Vassell
Dillon Brooks,3155526,1628415,Dillon Brooks
Dillon Jones,4702159,1641794,Dillon Jones
Domantas Sabonis,3155942,1627734,Domantas Sabonis
Dominick Barlow,4870562,1631230,Dominick Barlow
Donovan Clingan,5105565,1642270,Donovan Clingan
Donovan Mitchell,3908809,1628378,Donovan Mitchell
Donte DiVincenzo,3934673,1628978,Donte DiVincenzo
Dorian Finney-Smith,2578185,1627827,Dorian Finney-Smith
Doug McDermott,2528588,203926,Doug McDermott
Draymond Green,6589,203110,Draymond Green
Drew Eubanks,3914285,1629234,Drew Eubanks
Drew Peterson,4397689,1641809,Drew Peterson
Dru Smith,4066993,1630696,Dru Smith
Duncan Robinson,3157465,1629130,Duncan Robinson
Duop Reath,4066268,1641871,Duop Reath
Dwight Powell,2531367,203939,Dwight Powell
Dyson Daniels,4869342,1630700,Dyson Daniels
E.J. Liddell,4432821,1630604,E.J. Liddell
Elfrid Payton,2583639,203901,Elfrid Payton
Enrique Freeman,4592699,1642402,Enrique Freeman
Eric Gordon,3431,201569,Eric Gordon
Evan Mobley,4432158,1630596,Evan Mobley
Franz Wagner,4566434,1630532,Franz Wagner
Fred VanVleet,2991230,1627832,Fred VanVleet
Gabe Vincent,3137259,1629216,Gabe Vincent
Garrett Temple,4023,202066,Garrett Temple
Garrison Mathews,3913180,1629726,Garrison Mathews
Gary Harris,2999547,203914,Gary Harris
Gary Payton II,3134903,1627780,Gary Payton II
Gary Trent Jr.,4277843,1629018,Gary Trent Jr.
Georges Niang,2990969,1627777,Georges Niang
Giannis Antetokounmpo,3032977,203507,Giannis Antetokounmpo
Goga Bitadze,4348700,1629048,Goga Bitadze
Gradey Dick,5106258,1641711,Gradey Dick
Grant Williams,4066218,1629684,Grant Williams
Grayson Allen,3135045,1628960,Grayson Allen
Guerschon Yabusele,4017844,1627824,Guerschon Yabusele
Gui Santos,4997536,1630611,Gui Santos
Harrison Barnes,6578,203084,Harrison Barnes
Harrison Ingram,4433618,1631127,Harrison Ingram
Haywood Highsmith,4291678,1629312,Haywood Highsmith
Herbert Jones,4277813,1630529,Herbert Jones
Hunter Tyson,4395620,1641816,Hunter Tyson
Immanuel Quickley,4395724,1630193,Immanuel Quickley
Isaac Jones,5107818,1642403,Isaac Jones
Isaac Okoro,4432822,1630171,Isaac Okoro
Isaiah Collier,4683766,1642268,Isaiah Collier
Isaiah Crawford,4592857,1642384,Isaiah Crawford
Isaiah Hartenstein,4222252,1628392,Isaiah Hartenstein
Isaiah Jackson,4432170,1630543,Isaiah Jackson
Isaiah Joe,4395702,1630198,Isaiah Joe
Isaiah Stewart,4432810,1630191,Isaiah Stewart
Isaiah Wong,4431727,1631209,Isaiah Wong
Ivica Zubac,4017837,1627826,Ivica Zubac
JD Davison,4576085,1631120,JD Davison
JT Thor,4702233,1630550,JT Thor
Ja Morant,4279888,1629630,Ja Morant
Ja'Kobe Walter,4684272,1642266,Ja'Kobe Walter
Jabari Smith Jr.,4432639,1631095,Jabari Smith Jr.
Jabari Walker,4432446,1631133,Jabari Walker
Jack McVeigh,3911893,1629098,Jack McVeigh
Jacob Toppin,4592461,1631210,Jacob Toppin
Jaden Hardy,4868423,1630702,Jaden Hardy
Jaden Ivey,4433218,1631093,Jaden Ivey
Jaden McDaniels,4431671,1630183,Jaden McDaniels
Jaden Springer,4432164,1630531,Jaden Springer
Jae Crowder,6581,203109,Jae Crowder
Jae'Sean Tate,3136777,1630256,Jae'Sean Tate
Jaime Jaquez Jr.,4432848,1631170,Jaime Jaquez Jr.
Jake LaRavia,4592691,1631222,Jake LaRavia
Jakob Poeltl,3134908,1627751,Jakob Poeltl
Jalen Bridges,4432946,1641779,Jalen Bridges
Jalen Brunson,3934672,1628973,Jalen Brunson
Jalen Duren,4433621,1631105,Jalen Duren
Jalen Green,4437244,1630224,Jalen Green
Jalen Hood-Schifino,5105797,1641720,Jalen Hood-Schifino
Jalen Johnson,4701230,1630552,Jalen Johnson
Jalen Pickett,4398390,1629618,Jalen Pickett
Jalen Smith,4397189,1630188,Jalen Smith
Jalen Suggs,4432165,1630591,Jalen Suggs
Jalen Williams,4593803,1631114,Jalen Williams
Jalen Wilson,4431714,1630592,Jalen Wilson
Jamal Cain,4278572,1631288,Jamal Cain
Jamal Murray,3936299,1627750,Jamal Murray
Jamal Shead,4432241,1642347,Jamal Shead
James Harden,3992,201935,James Harden
James Johnson,3999,201949,James Johnson
James Wiseman,4432808,1630164,James Wiseman
Jamison Battle,4431893,1642419,Jamison Battle
Jarace Walker,5106060,1641716,Jarace Walker
Jared Butler,4395695,1630215,Jared Butler
Jared McCain,4683778,1642272,Jared McCain
Jared Rhoden,4397119,1631197,Jared Rhoden
Jaren Jackson Jr.,4277961,1628991,Jaren Jackson Jr.
Jarrett Allen,4066328,1628386,Jarrett Allen
Javonte Green,2596112,1629750,Javonte Green
Jaxson Hayes,4397077,1629637,Jaxson Hayes
Jay Huff,4065731,1630643,Jay Huff
Jaylen Brown,3917376,1627759,Jaylen Brown
Jaylen Martin,5149711,1641798,Jaylen Martin
Jaylen Nowell,4278541,1629669,Jaylen Nowell
Jaylen Wells,5112087,1642377,Jaylen Wells
